user,profile
2b0d7525bed1df5119b7956f9be4888b45686172d68006a90634e87952eb45d3,Troublemaker
fbcdcdebd0a2cf3481ac7922a439d2fbb363cfd10d7dbeb05dd76dde521e97ce,"I am a conservative. I love, dogs, books, antiques, American history, the Constitution and all those amendments #InGodWeTrust #tcot #RedNationRising"
212f2a2c1880216604c2d4d41b8bc6e8c1f2eec545580f8233913ee82aae0379,Plus-size model
e0967d30722ab4872cdc98bd4ba51598458ae66a61689daae3dc2fea08b7dd41,"Doubt whom you will, but never yourself."
13f4dd36ee173b842d1b52e8d63d61fec6cd52692fa76dbedb4ebfb964f3357c,"Journalist passionate about bringing you the best political news of the moment, you want to discover the secrets of Donald Trump"
8e58ab0f46d273103d9e71aa92cdaffb6e330ec7d15ae5fa79c825e2d6f291bf,"In bad luck, hold out; in good luck, hold in. Slow and steady wins the race and the road to a friends house is never long. #teamblack #antiracist"
2882331822,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)"
d4f9ad1862ea7fa4f4e998403c11289532a1e1a667097f5f2f27be8c7f25ca2d,I'm designer
af2a39dabcf827f45cae6d39172c9d28851b32cfc4c257b842e358a3b983d416,"Life Is Inherently Risky. There Is Only One Big Risk You Should Avoid At All Costs, And That Is The Risk Of Doing Nothing."
3978316814,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM"
7c2f567e50c4e3fbdf04d0ec493d4a2fca96bf807705305926aa02354068d9fd,I`m studing to earn much money in the future and i`m working to earn money for studing...
12c8f1b1c918d2cecd0102e4f7fdb2771217a46750b220c1af5173d1d19d4112,Veteran. Conservative. Offended? Re-read the tweet.
2753146444,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements"
a317054d08e59498204d8262cef56217bab7e9f33a0e32ca580258fe312662d3,"siccer than your average, boi #blm #BlackLivesMatter #StayWoke #BlackToLive"
b9d3b5702a6b5fa38265a627d022ece1598e7ce514e61ef10b929ab4e79ba68e,Против белоленточной чумы #ЯПатриотка
745cdb95a024e9ec3fd0367079d3019c2ff18512490a3238858af8483c9f2213,Sailor of life
c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,"Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET"
350cf55b4c13ab61b4402ae7ac6bb0fa891a8fd54016c0dc77a037c538ea5598,путешествую по этой маленькой планете
f0c6a7a9ae84aa09cb13e283ee2dcad50595a2a076dea4b0f032acedbb30244a,Teacher
e1d87b2a5c72906ce4d5fcb2fa61da5291750eb889a8e97a5cb6da580c353336,Блогер
2882350436,I'm so funny. I can make myself laugh
e228a194c9d80d7f8e0db185a1746a55a7c8a59e8b399e127442c40318bf6998,hope for hope
bf9dba91bbd72a2145c1e8c620d811f22c416501ec495fb92b3a4525569e74c8,"Whether you think you can or you think you can’t, you’re right."
11b2a99966def750bb3e9a4b52d46826cec464aefefecfb792c3b0da7e2d2be7,"#blackpride. Opinions, insights and witticisms are all free! #NiggaThatCares"
1fdac06ebb156f54ed03ca124d7faa8638dff2e7229910e4b52c0149b18dd7f0,I am a True Conservative and I love my country with all my heart! Happily married....
8e0f9e0d48b59943194b3bed56e1b910c1ef89adfe59e395f1b0bb88e142b3b8,Bringing awareness and promotion of the #BlackLivesMatter movement. It's great to have a purpose.
85fdb02196bb8c19d03a262e72132e5c8ec70bde25eaea167f012f0bc1becbf8,ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter
a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump
2530830345,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements"
48e0e1573d936f527ceb0fb4c070873a440a2061470da41e2c25050095cc15fa,i am fucking maan
eb0d54b797682c3cce84b58d38b77d01804f9d2991b1a1f89d71759c0cba4f76,I need smthng to drink
b75afa30ce2d6c1e4f5d653dc0e3e17ee233a29ff425e8e23194179de56c52df,"student, love music"
7a5f286ddbe1d4310c6cc0b1dabe3e5c3aac78cd9e611674e9a9d1a45d46ae8b,Avid twitter junkie
b2959ff7976eb22301ccacaa9bcd49820d386985dd9089430fbb7dd7e38c24b8,love ma family :)
306fa811b7752ad7737c5acd42395e999e5a8fb72a3a83ff2c983f86e5ee8d8b,"Patriot, Army Veteran from 44 yrs ago, love my rescued dogs, rifles, pistols, cigars, tobacco pipes, & freedom. God Bless Armed Forces #TRUMP2020"
311df5b8f4652c1a2f6dd0d8557fb192fa2fed04f57f1c278fbe1ed288101d07,"Dont be afraid to stand for what you believe in, even if that means standing alone."
a9f308e0211d00f01e142110e571989350f224dae68a661f3a91dfb81c038937,Whoever is happy will make others happy too.
